[1208/045601.860:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1209/055648.116:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1210/194451.640:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194451.640:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194451.640:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194451.640:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194451.640:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194451.640:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194451.640:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.078:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.078:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.078:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.078:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.078:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.078:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.078:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.094:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.285:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.285:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.285:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.285:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.285:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.285:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.285:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194704.285:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194717.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194717.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194717.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194717.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194717.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194717.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194717.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/194717.916:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195101.140:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195101.140:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195101.140:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195101.140:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195101.140:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195101.140:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195101.140:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195101.140:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195319.194:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195319.194:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195319.194:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195319.194:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195319.194:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195319.194:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195319.194:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195319.194:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195401.007:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195401.039:ERROR:exception_handler_server.cc(524)] ConnectNamedPipe: The pipe is being closed. (0xE8)
[1210/195407.784:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1210/195407.799:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
